prefecture	term	covered	source_count	categories	example
愛知県	火祭り	yes	1	風俗慣習	鳥羽の火祭り
愛知県	知立山車文楽	yes	1	民俗芸能	知立山車文楽
愛知県	花祭	yes	1	民俗芸能	花祭
愛知県	須成祭	yes	1	風俗慣習	須成祭
愛知県	黒沢田楽	yes	1	民俗芸能	黒沢田楽
新潟県	人形芝居	no	2	民俗芸能	佐渡の人形芝居（文弥人形、説経人形、のろま人形）
新潟県	延年	no	2	民俗芸能	根知山寺の延年
新潟県	綾子舞	no	2	民俗芸能	綾子舞
新潟県	舞楽	no	2	民俗芸能	糸魚川・能生の舞楽
新潟県	からかい	no	1	風俗慣習	青海の竹のからかい
新潟県	のろま人形	no	1	民俗芸能	佐渡の人形芝居（文弥人形、説経人形、のろま人形）
新潟県	大須戸能	no	1	民俗芸能	大須戸能
新潟県	天津神社舞楽	no	1	民俗芸能	天津神社舞楽
新潟県	弥彦神社燈篭おしと舞楽	no	1	民俗芸能	弥彦神社燈篭おしと舞楽
新潟県	御田植神事	no	1	民俗芸能	五所神社の御田植神事
新潟県	田遊び神事	no	1	民俗芸能	白山神社の田遊び神事
新潟県	白山神社舞楽	no	1	民俗芸能	白山神社舞楽
新潟県	裸押合	no	1	風俗慣習	浦佐毘沙門堂の裸押合
新潟県	説経人形	no	1	民俗芸能	佐渡の人形芝居（文弥人形、説経人形、のろま人形）
新潟県	ボタモチ祭	yes	1	風俗慣習	山北のボタモチ祭
新潟県	ボタモチ祭り	yes	1	風俗慣習	山北のボタモチ祭り
新潟県	屋台行事	yes	1	風俗慣習	村上祭の屋台行事
東京都	田遊び	no	2	民俗芸能	板橋の田遊び
東京都	鹿島踊	no	2	民俗芸能	小河内の鹿島踊
東京都	びんざさら	no	1	民俗芸能	浅草神社のびんざさら
東京都	二十五菩薩練供養	no	1	民俗芸能	浄真寺の二十五菩薩練供養
東京都	大踊	no	1	民俗芸能	新島の大踊
東京都	川野車人形	no	1	民俗芸能	川野車人形
東京都	式三番	no	1	民俗芸能	檜原村の式三番
東京都	神事	no	1	民俗芸能	三宅島の神事
東京都	糸あやつり人形	no	1	民俗芸能	江戸の糸あやつり人形
東京都	里神楽	yes	2	民俗芸能	江戸の里神楽
東京都	盆踊	yes	1	民俗芸能	佃の盆踊
栃木県	ジャガマイタ	no	1	風俗慣習	間々田のジャガマイタ
栃木県	ダイモジ（大捻縄）引き	no	1	風俗慣習	湯津上のダイモジ（大捻縄）引き
栃木県	天念仏	no	1	風俗慣習	栃窪の天念仏
栃木県	奈佐原文楽	no	1	民俗芸能	奈佐原文楽
栃木県	山あげ行事	no	1	風俗慣習	烏山の山あげ行事
栃木県	強飯式	no	1	風俗慣習	発光路の強飯式
栃木県	百堂念仏舞	no	1	民俗芸能	百村の百堂念仏舞
栃木県	天祭	yes	1	風俗慣習	塙の天祭
栃木県	屋台行事	yes	1	風俗慣習	鹿沼今宮神社祭の屋台行事
栃木県	山あげ祭	yes	1	風俗慣習	八雲神社の山あげ祭
沖縄県	ウンガミ	no	2	風俗慣習	塩屋湾のウンガミ
沖縄県	パーントゥ	no	2	風俗慣習	宮古島のパーントゥ
沖縄県	村踊	no	2	民俗芸能	伊江島の村踊
沖縄県	種子取	no	2	民俗芸能	竹富島の種子取
沖縄県	クイチャー	no	1	民俗芸能	宮古のクイチャー
沖縄県	シヌグ	no	1	民俗芸能	安田のシヌグ
沖縄県	フェーヌシマ	no	1	民俗芸能	那覇安里のフェーヌシマ
沖縄県	プーリィ	no	1	風俗慣習	石垣島四ヶ村のプーリィ（豊年祭）
沖縄県	マストリヤー	no	1	民俗芸能	野原のマストリヤー
沖縄県	ムシャーマ	no	1	民俗芸能	波照間島のムシャーマ
沖縄県	京太郎	no	1	民俗芸能	泡瀬の京太郎
沖縄県	八月あしび	no	1	民俗芸能	宜野座の八月あしび
沖縄県	八月踊	no	1	民俗芸能	多良間島の八月踊
沖縄県	操り獅子	no	1	民俗芸能	操り獅子
沖縄県	綱引き	no	1	風俗慣習	沖縄の綱引き
沖縄県	西表島祖内	no	1	民俗芸能	西表島祖内・星立の節祭
沖縄県	節祭	yes	2	民俗芸能	西表島の節祭
沖縄県	獅子舞	yes	1	民俗芸能	勢理客の獅子舞
沖縄県	結願祭	yes	1	民俗芸能	小浜島の盆、結願祭、種子取祭の芸能
沖縄県	豊年祭	yes	1	民俗芸能	多良間の豊年祭
滋賀県	おはな踊	no	1	民俗芸能	おはな踊
滋賀県	ケンケト祭り長刀振り	yes	2	民俗芸能	近江のケンケト祭り長刀振り
滋賀県	サンヤレ踊り	yes	2	民俗芸能	近江湖南のサンヤレ踊り
滋賀県	曳山行事	yes	2	風俗慣習	大津祭の曳山行事
滋賀県	ずいき祭	yes	1	風俗慣習	三上のずいき祭
滋賀県	太鼓踊	yes	1	民俗芸能	油日の太鼓踊
滋賀県	朝日豊年太鼓踊	yes	1	民俗芸能	朝日豊年太鼓踊
滋賀県	火祭り	yes	1	風俗慣習	近江八幡の火祭り
滋賀県	芋競べ祭り	yes	1	風俗慣習	近江中山の芋競べ祭り
滋賀県	郷祭り	yes	1	風俗慣習	近江の郷祭り
滋賀県	長浜曳山狂言	yes	1	民俗芸能	長浜曳山狂言
熊本県	にわか	no	1	民俗芸能	高森のにわか
熊本県	七夕綱	no	1	風俗慣習	八代・芦北の七夕綱
熊本県	古代踊	no	1	民俗芸能	古代踊
熊本県	御田植	no	1	民俗芸能	阿蘇の御田植
