kind_code	kind_name	prefecture	name	category	subcategory	detail_url
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	浜通りのお浜下り	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/00000997
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	石井の七福神と田植踊	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/312/237
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	磐城・岩代のミコサマの習俗	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/246
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	磐梯神社の舟引き祭り	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/701
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	都々古別神社の御田植	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/312/238
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	関辺のさんじもさ踊	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/660
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	鹿島日吉神社のお浜下り	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/245
302	重要無形民俗文化財	茨城県	常陸大津の御船祭	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/00000941
302	重要無形民俗文化財	茨城県	日立風流物	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/32
302	重要無形民俗文化財	茨城県	綱火	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/302/31
312	記録作成等の措置を講ずべき無形の民俗文化財	茨城県	あんば囃子	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/254
312	記録作成等の措置を講ずべき無形の民俗文化財	茨城県	五所駒滝神社の祭事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/258
312	記録作成等の措置を講ずべき無形の民俗文化財	茨城県	大串のささらと大野のみろく	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/312/251
312	記録作成等の措置を講ずべき無形の民俗文化財	茨城県	大畑のからかさ万灯	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/257
312	記録作成等の措置を講ずべき無形の民俗文化財	茨城県	常陸大津のお船祭	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/255
